[main] 2020-08-18 09:48:30.197 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zte.dao.ServiceTest], using SpringBootContextLoader
[main] 2020-08-18 09:48:30.231 INFO  >>> org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zte.dao.ServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
[main] 2020-08-18 09:48:30.233 INFO  >>> org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.zte.dao.ServiceTest]: ServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
[main] 2020-08-18 09:48:30.653 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.zte.Application for test class com.zte.dao.ServiceTest
[main] 2020-08-18 09:48:30.675 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[main] 2020-08-18 09:48:30.720 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4d910fd6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@26275bef, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7690781, org.springframework.test.context.support.DirtiesContextTestExecutionListener@77eca502, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3246fb96, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2e222612, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@61386958, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@73ee04c8, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7671cb68, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@49dc7102, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6b8ca3c8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@68c72235]
[main] 2020-08-18 09:48:31.736 INFO  >>> com.zte.dao.ServiceTest - Starting ServiceTest on 7TAV70GMCNQG825 with PID 25104 (started by Administrator in C:\yswwork\svnproject\wenlv\wenlv)
[main] 2020-08-18 09:48:31.739 INFO  >>> com.zte.dao.ServiceTest - The following profiles are active: dev
[background-preinit] 2020-08-18 09:48:32.413 INFO  >>> org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
[main] 2020-08-18 09:49:03.834 INFO  >>> org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.zte.dao.ServiceTest], using SpringBootContextLoader
[main] 2020-08-18 09:49:03.839 INFO  >>> org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.zte.dao.ServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
